,scheme,strike,T,true,mean,std
0,simulate_heston_euler,85,0.1,16.4843725820592,16.468112499833538,0.0023467211084877704
1,simulate_heston_euler,85,0.2,18.201489423335452,18.174955758679573,0.005096538237777892
2,simulate_heston_euler,85,0.3,19.560396707041598,19.532771456875786,0.011701326309243143
3,simulate_heston_euler,85,0.4,20.661498651184267,20.62555205333311,0.0026419045501668847
4,simulate_heston_euler,85,0.5,21.57601035901616,21.550518724605872,0.011711366392338718
5,simulate_heston_euler,85,0.6,22.350439995559217,22.332203311875073,0.00406130436534724
6,simulate_heston_euler,85,0.7,23.016610915726496,22.995971304041472,0.0031915227912406863
7,simulate_heston_euler,85,0.8,23.597320813628524,23.566371834572593,0.0014465486046155718
8,simulate_heston_euler,85,0.9,24.109502484717606,24.089111173398194,0.007140984138482409
9,simulate_heston_euler,85,1.0,24.56608179952838,24.545769200509195,0.00035073082081638063
10,simulate_heston_euler,90,0.1,12.662878868945075,12.650947614146526,0.0005938719797686787
11,simulate_heston_euler,90,0.2,14.757315921130216,14.723351164996227,0.004548687405591778
12,simulate_heston_euler,90,0.3,16.30096203061948,16.272476470614805,0.0015047301960073867
13,simulate_heston_euler,90,0.4,17.515785639045724,17.479528788042856,0.012798799075090628
14,simulate_heston_euler,90,0.5,18.508667925350743,18.475316796848187,0.004385339596595372
15,simulate_heston_euler,90,0.6,19.3409999014674,19.31148678823339,0.003598328752898894
16,simulate_heston_euler,90,0.7,20.052120358094896,20.019791574546254,0.008890934453685162
17,simulate_heston_euler,90,0.8,20.669102412321724,20.630731348496973,0.009455466151377934
18,simulate_heston_euler,90,0.9,21.211511785495226,21.182392968176984,0.007697618735852174
19,simulate_heston_euler,90,1.0,21.693986461816426,21.658118023462897,0.002396774136100177
20,simulate_heston_euler,95,0.1,9.38029741612489,9.355493651182572,0.00042345415606348524
21,simulate_heston_euler,95,0.2,11.742587413185001,11.713189615321474,0.004182535484773098
22,simulate_heston_euler,95,0.3,13.41303651624326,13.389182857808752,0.003263355283787739
23,simulate_heston_euler,95,0.4,14.70549629109751,14.677015508962658,0.0008892505983588705
24,simulate_heston_euler,95,0.5,15.751945972767087,15.724589071737636,0.0023739229908503745
25,simulate_heston_euler,95,0.6,16.62402408235659,16.6079050462989,0.006728184841218621
26,simulate_heston_euler,95,0.7,17.366206996463262,17.325401389002153,0.0014580480266364049
27,simulate_heston_euler,95,0.8,18.008482579809694,17.98222234569029,0.003808618068179115
28,simulate_heston_euler,95,0.9,18.572206811047252,18.551198605360057,0.0011360183454680595
29,simulate_heston_euler,95,1.0,19.07317664256558,19.052880124654923,0.0018857379902215143
30,simulate_heston_euler,100,0.1,6.689288608346882,6.667335214304272,0.0014108562273253966
31,simulate_heston_euler,100,0.2,9.169685874964928,9.134282398182577,0.0009452614562510675
32,simulate_heston_euler,100,0.3,10.89951087376989,10.859211824001637,0.0018660705839845804
33,simulate_heston_euler,100,0.4,12.230008278913578,12.1906730664765,0.004169290450384722
34,simulate_heston_euler,100,0.5,13.303639382786633,13.268413104947154,0.0007280087038692429
35,simulate_heston_euler,100,0.6,14.19650863672976,14.169324329374437,0.013895598015710497
36,simulate_heston_euler,100,0.7,14.955425765633075,14.929256961393321,0.003016813921542294
37,simulate_heston_euler,100,0.8,15.611746615238058,15.58193250997913,0.0013156186354841282
38,simulate_heston_euler,100,0.9,16.187685594907364,16.165246362998552,0.00022492813193686345
39,simulate_heston_euler,100,1.0,16.69960076395676,16.673011979647782,0.011678161867836323
40,simulate_heston_euler,105,0.1,4.588696051662854,4.549368545965599,0.009576167282299597
41,simulate_heston_euler,105,0.2,7.029007415214663,7.001336393526547,0.001220168300795077
42,simulate_heston_euler,105,0.3,8.750171879554355,8.725292967483822,0.010479184427387267
43,simulate_heston_euler,105,0.4,10.079486014872968,10.045785899426068,0.0084838481981242
44,simulate_heston_euler,105,0.5,11.154431700463668,11.132873659885584,0.015332949574542454
45,simulate_heston_euler,105,0.6,12.049621987517403,12.023971164383465,0.001300545756330429
46,simulate_heston_euler,105,0.7,12.811354935465019,12.775523425154185,0.0036710310857479556
47,simulate_heston_euler,105,0.8,13.470802996764826,13.443150415501439,0.005660576170517295
48,simulate_heston_euler,105,0.9,14.050113811568306,14.031470858148776,0.008180560476607646
49,simulate_heston_euler,105,1.0,14.5656187049582,14.530140532884186,0.005212684072491314
50,simulate_heston_euler,110,0.1,3.028302527715786,2.9923150121579027,0.005052603535627531
51,simulate_heston_euler,110,0.2,5.292025462486427,5.26225292412561,0.006845365195923492
52,simulate_heston_euler,110,0.3,6.9436660265391374,6.916464127854468,0.010980528910371934
53,simulate_heston_euler,110,0.4,8.236266526150212,8.198667254077398,0.003016644909154209
54,simulate_heston_euler,110,0.5,9.288942760353022,9.267406925210796,0.012709183702133586
55,simulate_heston_euler,110,0.6,10.169538343690613,10.141301180558328,0.008308818350634795
56,simulate_heston_euler,110,0.7,10.921287064791638,10.895953593183847,0.0008338202583821896
57,simulate_heston_euler,110,0.8,11.57377649660016,11.536549242017552,0.01772169293742465
58,simulate_heston_euler,110,0.9,12.148249249532476,12.12746116868048,0.00689574362159906
59,simulate_heston_euler,110,1.0,12.660477271148501,12.630637715117434,0.006058514801658532
60,simulate_heston_euler,115,0.1,1.9244377512302737,1.9072605119725463,0.006994299909265811
61,simulate_heston_euler,115,0.2,3.916396208046839,3.8820041090169704,0.0047669441695332715
62,simulate_heston_euler,115,0.3,5.450257666423548,5.407551369903071,8.572733346401407e-05
63,simulate_heston_euler,115,0.4,6.676674204704648,6.6491030030063945,0.001089249045400642
