,scheme,N_dt,result
0,simulate_heston_euler,30,16.592696758626293
1,simulate_heston_euler,30,16.611966084966195
2,simulate_heston_euler,30,16.603255782292575
3,simulate_heston_euler,30,16.58478638702502
4,simulate_heston_euler,30,16.61570909917403
5,simulate_heston_euler,30,16.57992705240361
6,simulate_heston_euler,30,16.603234847709178
7,simulate_heston_euler,30,16.6090768765819
8,simulate_heston_euler,30,16.590450829699666
9,simulate_heston_euler,30,16.602569594328653
10,simulate_heston_euler,30,16.592892569993513
11,simulate_heston_euler,30,16.62099361300384
12,simulate_heston_euler,30,16.600755499558616
13,simulate_heston_euler,30,16.624946176989678
14,simulate_heston_euler,30,16.614511120581817
15,simulate_heston_euler,30,16.600097544647415
16,simulate_heston_euler,30,16.604263164076638
17,simulate_heston_euler,30,16.588647108997435
18,simulate_heston_euler,30,16.625354483668893
19,simulate_heston_euler,30,16.58973784547622
20,simulate_heston_euler,40,16.637705289952972
21,simulate_heston_euler,40,16.63746119183614
22,simulate_heston_euler,40,16.633454525430643
23,simulate_heston_euler,40,16.624165707236546
24,simulate_heston_euler,40,16.645420148317402
25,simulate_heston_euler,40,16.63365801851674
26,simulate_heston_euler,40,16.632717887824008
27,simulate_heston_euler,40,16.646447068963717
28,simulate_heston_euler,40,16.62294236113395
29,simulate_heston_euler,40,16.617447509216507
30,simulate_heston_euler,40,16.622612644573994
31,simulate_heston_euler,40,16.616708354757524
32,simulate_heston_euler,40,16.619880919074905
33,simulate_heston_euler,40,16.621627889669035
34,simulate_heston_euler,40,16.63436521218433
35,simulate_heston_euler,40,16.61591830059611
36,simulate_heston_euler,40,16.625512661603675
37,simulate_heston_euler,40,16.63443386076069
38,simulate_heston_euler,40,16.62426881953521
39,simulate_heston_euler,40,16.626415217465375
40,simulate_heston_euler,50,16.63620398116718
41,simulate_heston_euler,50,16.64210711958238
42,simulate_heston_euler,50,16.636742161793205
43,simulate_heston_euler,50,16.6300082727043
44,simulate_heston_euler,50,16.64088192330591
45,simulate_heston_euler,50,16.655045481823823
46,simulate_heston_euler,50,16.646623703253418
47,simulate_heston_euler,50,16.64864584036565
48,simulate_heston_euler,50,16.639114248552023
49,simulate_heston_euler,50,16.643971983202405
50,simulate_heston_euler,50,16.64893969588811
51,simulate_heston_euler,50,16.6378003189175
52,simulate_heston_euler,50,16.66462923045348
53,simulate_heston_euler,50,16.643684998716292
54,simulate_heston_euler,50,16.646036469729335
55,simulate_heston_euler,50,16.65095374260116
56,simulate_heston_euler,50,16.665341889784564
57,simulate_heston_euler,50,16.656783466943633
58,simulate_heston_euler,50,16.638004698251077
59,simulate_heston_euler,50,16.64896850610542
60,simulate_heston_euler,60,16.655317823831123
61,simulate_heston_euler,60,16.670647945842518
62,simulate_heston_euler,60,16.644272625965552
63,simulate_heston_euler,60,16.65644732917412
64,simulate_heston_euler,60,16.666561646820508
65,simulate_heston_euler,60,16.679170879921227
66,simulate_heston_euler,60,16.67172447351013
67,simulate_heston_euler,60,16.655283323088966
68,simulate_heston_euler,60,16.66315371596666
69,simulate_heston_euler,60,16.660189152582557
70,simulate_heston_euler,60,16.65740452863994
71,simulate_heston_euler,60,16.658034542555075
72,simulate_heston_euler,60,16.653395136666262
73,simulate_heston_euler,60,16.642604769483775
74,simulate_heston_euler,60,16.675347084212248
75,simulate_heston_euler,60,16.661909736531587
76,simulate_heston_euler,60,16.640482761030324
77,simulate_heston_euler,60,16.660124046321986
78,simulate_heston_euler,60,16.663609229788094
79,simulate_heston_euler,60,16.669501108450312
80,simulate_heston_euler,70,16.648064488082166
81,simulate_heston_euler,70,16.651232134631005
82,simulate_heston_euler,70,16.657760376607637
83,simulate_heston_euler,70,16.655779074703013
84,simulate_heston_euler,70,16.635943381119368
85,simulate_heston_euler,70,16.65844937611902
86,simulate_heston_euler,70,16.66270427498672
87,simulate_heston_euler,70,16.63581751684556
88,simulate_heston_euler,70,16.661633717639383
89,simulate_heston_euler,70,16.65292757498009
90,simulate_heston_euler,70,16.64166552260998
91,simulate_heston_euler,70,16.66017728649845
92,simulate_heston_euler,70,16.64754086390874
93,simulate_heston_euler,70,16.666846824395233
94,simulate_heston_euler,70,16.65435519043613
95,simulate_heston_euler,70,16.666726255415426
96,simulate_heston_euler,70,16.65276154654999
97,simulate_heston_euler,70,16.658325492002035
98,simulate_heston_euler,70,16.656013064529397
99,simulate_heston_euler,70,16.636613542389412
100,simulate_heston_euler,80,16.66499087201939
101,simulate_heston_euler,80,16.675757938526996
102,simulate_heston_euler,80,16.66347634162755
103,simulate_heston_euler,80,16.67231068784163
104,simulate_heston_euler,80,16.672359090569344
105,simulate_heston_euler,80,16.64888105368583
106,simulate_heston_euler,80,16.66151416827141
107,simulate_heston_euler,80,16.67653122406599
108,simulate_heston_euler,80,16.658577204208644
109,simulate_heston_euler,80,16.665054842721613
110,simulate_heston_euler,80,16.67646514892945
111,simulate_heston_euler,80,16.650955933341667
112,simulate_heston_euler,80,16.66484223223325
113,simulate_heston_euler,80,16.65911019748338
114,simulate_heston_euler,80,16.674740917269656
115,simulate_heston_euler,80,16.67168256577196
116,simulate_heston_euler,80,16.68113657866759
117,simulate_heston_euler,80,16.663646295777305
118,simulate_heston_euler,80,16.657546052798004
119,simulate_heston_euler,80,16.65923755889715
120,simulate_heston_euler,90,16.680152183572716
121,simulate_heston_euler,90,16.671776829493904
122,simulate_heston_euler,90,16.668000134527457
123,simulate_heston_euler,90,16.669326043819414
124,simulate_heston_euler,90,16.671841842191988
125,simulate_heston_euler,90,16.66761802688669
