,scheme,N_dt,result
0,simulate_heston_euler,4,16.117227277322193
1,simulate_heston_euler,4,16.11643918979296
2,simulate_heston_euler,4,16.125405256836054
3,simulate_heston_euler,4,16.103806699495262
4,simulate_heston_euler,4,16.136596868259712
5,simulate_heston_euler,4,16.12353543962861
6,simulate_heston_euler,4,16.134385343884666
7,simulate_heston_euler,4,16.12784657138906
8,simulate_heston_euler,4,16.105027633113014
9,simulate_heston_euler,4,16.120967603984283
10,simulate_heston_euler,4,16.122942424186558
11,simulate_heston_euler,4,16.099085573741185
12,simulate_heston_euler,4,16.113843468516595
13,simulate_heston_euler,4,16.117584949151162
14,simulate_heston_euler,4,16.10769440305081
15,simulate_heston_euler,4,16.12405062752904
16,simulate_heston_euler,4,16.110201489614237
17,simulate_heston_euler,4,16.12615921127294
18,simulate_heston_euler,4,16.119005760292577
19,simulate_heston_euler,4,16.12779627409954
20,simulate_heston_euler,4,16.11464864438448
21,simulate_heston_euler,4,16.112876621342473
22,simulate_heston_euler,4,16.130082092982732
23,simulate_heston_euler,4,16.11440895008189
24,simulate_heston_euler,4,16.13055689103846
25,simulate_heston_euler,4,16.110614658892988
26,simulate_heston_euler,4,16.09441031019048
27,simulate_heston_euler,4,16.094927038282336
28,simulate_heston_euler,4,16.112719472289434
29,simulate_heston_euler,4,16.116406642548352
30,simulate_heston_euler,4,16.104963605906708
31,simulate_heston_euler,4,16.107996034362102
32,simulate_heston_euler,4,16.11106682031324
33,simulate_heston_euler,4,16.119499507362683
34,simulate_heston_euler,4,16.135604172539246
35,simulate_heston_euler,4,16.11177732443296
36,simulate_heston_euler,4,16.130873138823905
37,simulate_heston_euler,4,16.110132708568983
38,simulate_heston_euler,4,16.103315359851848
39,simulate_heston_euler,4,16.11000862326079
40,simulate_heston_euler,4,16.10328476601152
41,simulate_heston_euler,4,16.124706268334243
42,simulate_heston_euler,4,16.111071462741638
43,simulate_heston_euler,4,16.10367965910054
44,simulate_heston_euler,4,16.115244635509633
45,simulate_heston_euler,4,16.117931818678453
46,simulate_heston_euler,4,16.12968562655302
47,simulate_heston_euler,4,16.108550845151356
48,simulate_heston_euler,4,16.121957701692082
49,simulate_heston_euler,4,16.129244764704413
50,simulate_heston_euler,4,16.12811181965841
51,simulate_heston_euler,4,16.10363158293362
52,simulate_heston_euler,4,16.116158801756875
53,simulate_heston_euler,4,16.110286637702455
54,simulate_heston_euler,4,16.107923139715012
55,simulate_heston_euler,4,16.136194484095572
56,simulate_heston_euler,4,16.126870285908115
57,simulate_heston_euler,4,16.112230311698166
58,simulate_heston_euler,4,16.131834867961288
59,simulate_heston_euler,4,16.11497135905371
60,simulate_heston_euler,4,16.10975882316802
61,simulate_heston_euler,4,16.106951842163916
62,simulate_heston_euler,4,16.124279582777888
63,simulate_heston_euler,4,16.139434636117592
64,simulate_heston_euler,4,16.118414820929797
65,simulate_heston_euler,4,16.09756963385898
66,simulate_heston_euler,4,16.129551803524897
67,simulate_heston_euler,4,16.11197158087105
68,simulate_heston_euler,4,16.10991554855735
69,simulate_heston_euler,4,16.123785094568643
70,simulate_heston_euler,4,16.12244125875468
71,simulate_heston_euler,4,16.126548396677688
72,simulate_heston_euler,4,16.100963944280192
73,simulate_heston_euler,4,16.138131304964123
74,simulate_heston_euler,4,16.11202132977268
75,simulate_heston_euler,4,16.11884663219449
76,simulate_heston_euler,4,16.106636250174418
77,simulate_heston_euler,4,16.099755262827472
78,simulate_heston_euler,4,16.12904154314049
79,simulate_heston_euler,4,16.11003034667966
80,simulate_heston_euler,4,16.087039510812495
81,simulate_heston_euler,4,16.116369878013753
82,simulate_heston_euler,4,16.10905426064212
83,simulate_heston_euler,4,16.12522399892619
84,simulate_heston_euler,4,16.11346943539919
85,simulate_heston_euler,4,16.106227536510847
86,simulate_heston_euler,4,16.14972779565644
87,simulate_heston_euler,4,16.118503197052323
88,simulate_heston_euler,4,16.11370985276383
89,simulate_heston_euler,4,16.12638981209014
90,simulate_heston_euler,4,16.113795396365862
91,simulate_heston_euler,4,16.112581551866253
92,simulate_heston_euler,4,16.114000642565838
93,simulate_heston_euler,4,16.119783460374382
94,simulate_heston_euler,4,16.094401999678734
95,simulate_heston_euler,4,16.11797197091401
96,simulate_heston_euler,4,16.11612280175472
97,simulate_heston_euler,4,16.108264390098952
98,simulate_heston_euler,4,16.11833570548489
99,simulate_heston_euler,4,16.11477928250041
100,simulate_heston_euler,4,16.11572378552458
101,simulate_heston_euler,4,16.126888212206957
102,simulate_heston_euler,4,16.110836465410223
103,simulate_heston_euler,4,16.116217373414358
104,simulate_heston_euler,4,16.12277348794443
105,simulate_heston_euler,4,16.101030850565976
106,simulate_heston_euler,4,16.092470101590884
107,simulate_heston_euler,4,16.117347602774235
108,simulate_heston_euler,4,16.112949177797617
109,simulate_heston_euler,4,16.11787062633049
110,simulate_heston_euler,4,16.107545439238407
111,simulate_heston_euler,4,16.12545956387109
112,simulate_heston_euler,4,16.10742591958108
113,simulate_heston_euler,4,16.12244882961039
114,simulate_heston_euler,4,16.13761539500124
115,simulate_heston_euler,4,16.11617540988992
116,simulate_heston_euler,4,16.11485618015216
117,simulate_heston_euler,4,16.121550993645055
118,simulate_heston_euler,4,16.101789416936807
119,simulate_heston_euler,4,16.118475212355214
120,simulate_heston_euler,4,16.116901333696166
121,simulate_heston_euler,4,16.120500099530744
122,simulate_heston_euler,4,16.11413782849723
123,simulate_heston_euler,4,16.112187247983407
124,simulate_heston_euler,4,16.109068087165767
125,simulate_heston_euler,4,16.123375738258744
